id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text,xrefs
134,DENEBAKRAB,,,Scorpii,,,16,51,52.23111,-38,2,50.5694,4.4151180379,-0.6640520595,3.04,B1.5 V + B6.5 V,,,"Close binary system where one star's mass is spilling onto the other, a famed location for extreme sports.",
135,DENEBOLA,,,Leonis,,,11,49,3.57834,14,34,19.409,3.0938563234,0.2543303919,2.14,A3 V,,,"Hazardous system constructed as an early Skein experiment, bound with topological defect cables rather than gravity.",
136,DIADEM,,,Comae Berenices,,,13,9,59.2766,17,31,45.953,3.4469726656,0.3059462937,4.3,A: F5V / B: F5V,,,Ornate white binary in a brilliant setting of carbon planets and ice giants.,
137,DIPTERA,,,Muscae,,,12,46,16.8041,-68,6,29.2164,3.3435275462,-1.1887108657,3,B2 V + B3 V,,,"Compound star, a relentlessly swarming mass of blue-black starlets.",
138,THE DOUBLE DOUBLE,,,Lyrae,,,18,44,20.3453,39,40,12.444,4.9058547501,0.6923742668,4,F1V / A8V,,,"Thought at first to be quadruple, this system is now known to be recursive and indefinitely large.",
139,DSCHUBBA,,,Scorpii,,,16,0,20.00528,-22,37,18.1431,4.1902450298,-0.3948232594,2.29,B0.3 IV,,,"Prophesied to one day unite the BATENTABANS, PHACD, SCHEAT and USHAKARON in a mighty empire known as the Epic Solo.",BATENTABANS PHACD SCHEAT  USHAKARON 
140,DUBHE,,,Ursae Majoris,,,11,3,43.67152,61,45,3.7249,2.8960591177,1.0777588719,1.79,K1 II-III,,,"Quadruple system, home of the Grey Giants, living planets which purr unceasingly along their orbits.",
141,DZIBAIN,,,Draconis,,,17,41,58.2,72,9,11,4.6337182644,1.2593083848,4.59,F,,,Binary star orbited by a beige dwarf just massive enough to sustain classical fusion.,
142,EKKHYSIS,,,Aquarii,,,22,52,36.87441,-7,34,46.5542,5.9891609171,-0.1322889479,3.722,M2.5 IIIa Fe–1,,,"Red giant, ever expanding and contracting its formless, evanescent and delicate outer layers.",
143,EL NATH,,,Tauri,,,5,26,17.5134,28,36,27.494,1.4237169508,0.4992974607,1.68,B7III,,,"Unlike most meteor showers, which only appear to come from their radiant, the Beta Taurids actually come from EL NATH.",EL NATH
144,EL REHLA,,,Puppis,,,6,49,56.16846,-50,36,52.4437,1.7886838458,-0.8833908557,2.95,K1 III,,,Solipsistic object with the power to convince others that it is the only star in the cosmos. Not to be approached.,
145,ELECTRA,,,Tauri,,,3,44,52.5373,24,6,48.021,0.9812050014,0.4208571621,3.72,B,,,"Blue giant star which is fusing hybris in its core, giving rise to strong nemesis and vengeance emission lines.",
146,ELTANIN,,,Draconis,,,17,56,36.36988,51,29,20.0242,4.6975805802,0.8986507566,2.23,K5 III,,,Red giant whose primary is home to a race of flightless interstellar dragons who have adapted to life planetside.,
147,ELVASHAK,,,Lyncis,,,9,21,3.30074,34,23,33.2245,2.4480643125,0.6002634514,3.13,K7 III,,,Plaid orange giant with the best hot wings in the Orion Arm.,
148,ENIF,,,Pegasi,,,21,44,11.15614,9,52,30.0311,5.6905846589,0.1723514144,2.399,K2 Ib,,,"Monstrous red giant of evil reputation, the Bloated One, the Maw, the Devourer, the Stain.",
149,ERRAI,,,Cephei,,,23,39,20.85,77,37,56.2,6.1930717762,1.354938853,3.22,K,,,Orange subgiant with red dwarf companion. The polychrome sundials of its planet are famed for their exquisite beauty.,
150,FIEHT,,,Ophiuchi,,,16,37,9.53905,-10,34,1.5295,4.3509268599,-0.1844305395,2.569,O9.5 V,,,"Young blue giant moving at high speed through the interstellar medium, its bow shock a rich feeding ground for dragons.",
151,FOMALHAUT,,,Piscis Austrini,,,22,57,39.0465,-29,37,20.05,6.0111354916,-0.5170055519,1.16,A3 V ,,,"Fabled as the site of an ingestive organ of the galactic animal, a magnet for explorers and thaumaturges.",
152,FOO PIH,,,Hydri,,,3,47,14.34062,-74,14,20.2686,0.9915172298,-1.2957143463,3.24,M,,,"Red giant with companion bearing biosphere spectral fingerprint AAA10011011 (""robot planet"").",AAA
153,FORAMEN,,,Carinae,,,10,45,3.591,-59,41,4.26,2.8146045637,-1.0416913283,4.6,O,,,"Mighty beacon, soon to be used as an extragalactic signal by demiurges. Projected message content: ""NOT YET.""",NOT YET
154,FUM AL FARAS,,,Pegasi,,,22,5,40.7517,5,3,30.7201,5.7843666945,0.0882880625,4.87,K,,,"K-giant, home to the Clockworld, a sublight event clearing house established by the Fourth Empire, now derelict.",
155,FUM AL SAMAKAH,,,Piscium,,,23,3,52.6,3,49,12,6.0383010687,0.0666715774,4.53,B,,,"Flattened, fast-rotating B-giant, a tracery of tormented gas fretted by blue lightning.",
156,FURUD,,,Canis Majoris,,,6,20,18.79204,-30,3,48.1202,1.6594293851,-0.5247047335,3.025,B2.5 V,,,Example of a breathing star whose mild variations accelerate when it is observed.,
157,GACRUX,,,Crucis,,,12,31,9.95961,-57,6,47.5684,3.2775799539,-0.996813621,1.63,M3.5 III,,,"Sacred to raptors on many worlds, the closest red giant star to SOL.",SOL
158,GATRIA,,,Trianguli Australis,,,15,18,54.58198,-68,40,46.3654,4.0094999469,-1.1986842055,2.87,A1 V,,,"A-subgiant, a vast white tetrahedron held in shape by powerful magnetic fields.",
159,GEMINGA,,,B0633,,,6,33,54.15,17,46,12.9,1.7187238892,0.3101493714,,pulsar,,,"Pulsar, wanders the skies making friends and distorting space-time. Maybe tomorrow, it will want to settle down.",
160,GIAUSAR,,,Draconis,,,11,28,30,69,36,0,3.004147975,1.2147491594,4.1,M,,,"Believed to be the dragons' home system, a red giant orbited by the embers of ancient carbon planets.",
161,GIENAH,,,Cygni,,,20,46,12.68236,33,58,12.925,5.4376229072,0.5928928314,2.48,K0 III,,,K-giant fitted with solar wind baffles by which its inhabitants are very gradually altering its trajectory.,
162,GIENAH GURAB,,,Corvi,,,12,15,48.37081,-17,32,30.9496,3.2105601251,-0.3061644434,2.585,B8 III,,,"B-giant, home of the fabled Dream Planet, a world free from causalty. Visitors are usually punished by trite curses.",
163,GIRTAB,,,Scorpii,,,17,42,29.2752,-39,1,47.9391,4.6359781167,-0.6812017118,2.39,B1.5 III,,,"Binary star. All the rocky bodies in its system have been carved into the same form, which may represent a face.",
164,GOMEISA,,,Canis Minoris,,,7,27,9.04174,8,17,21.5368,1.951062973,0.1446758531,2.89,B8 Ve,,,"Blue star with restorative properties, whose local name is Peace [Dampness] After Weeping.",
165,GORGONEA QUARTA,,,Persei,,,3,11,17.4,39,36,42,0.8346600815,0.6913540055,4.63,K,,,"K-dwarf, evil subsidiary of ALGOL, acts as a galactic sump. Every direction in its system is down.",ALGOL
166,GORGONEA SECUNDA,,,Persei,,,2,58,45.7,39,39,46,0.7799949149,0.6922460627,4.7,A,,,"A-giant, evil subsidiary of ALGOL. The rise and fall of empires are foretold by its shifting blemishes.",ALGOL
167,GORGONEA TERTIA,,,Persei,,,3,5,10.59385,38,50,24.9943,0.8079851856,0.677890702,3.39,M4 II,,,"Large red giant, evil subsidiary of ALGOL. All of the constellations visible from this system are obscene.",ALGOL
168,GRAFFIAS,,,Scorpii,,,16,5,26.23198,-19,48,19.63,4.2125144639,-0.3456703608,2.6,B0.5V + B2V,,,"Sextuple system where space flight was invented in the steam age, its history inspired the first space operas.",
169,GRUID,,,Gruis,,,22,42,40.05027,-46,53,4.4752,5.9457586409,-0.8182902274,2.13,M5 III,,,Pre-Copernican system established as a supernature preserve. Access within its celestial sphere is strictly controlled.,
170,GRUMIUM,,,Draconis,,,17,53,31.72962,56,52,21.5143,4.6841531616,0.9926148722,3.75,K2 III,,,"Orange, metal-rich star populated by demons who have fitted it with active volcanoes. No-one is quite sure how.",
171,HADAR,,,Centauri,,,14,3,49.40535,-60,22,22.9266,3.681874257,-1.0537082431,0.6,B1 III,,,"Blue giant star which has evolved away from the Main Sequence in search of something it refers to as ""the new sound"".",
172,HAMAL,,,Arietis,,,2,7,10.4057,23,27,44.7032,0.5548987614,0.4094964368,2,K2 III Ca-1,,,"Its inhabitants invented interstellar flight before science fiction. Lacking preconceptions, they conquered the Galaxy.",
173,HATSYA,,,Orionis,,,5,35,25.98191,-5,54,35.6435,1.4636027064,-0.1031472304,2.77,O9 III + B0.8 III/IV,,,"Close binary pair with a wide age difference, resulting in high X-ray emissions and the disapproval of neighbours.",
174,HEAD OF HYDRUS,,,Hydri,,,1,58,46.19467,-61,34,11.4948,0.5182315005,-1.0745967712,2.9,F0 IV,,,"Sensory organ of the galactic animal, manifests as an ever-changing succession of glowing, biomorphic forms.",
175,HECATEBOLUS,,,Sagittarii,,,19,6,56.40897,-27,40,13.5189,5.004470483,-0.4829399679,3.326,K1 III,,,"K-subgiant, home to a species whose habit of transmitting powerful, enigmatic signals has wrecked their economy.",
176,HEZE,,,Virginis,,,13,34,41.59115,0,35,44.9487,3.5547696216,0.0103990048,3.376,A3 V,,,"Apparently ordinary A-dwarf which emits entangled photons, hinting that it is an experimental construct.",
177,HOEDUS I,,,Aurigae,,,5,2,28.68739,41,4,33.02,1.3198097911,0.7169086316,3.751,K5 Ib-II + B5–7 V,,,"Orange giant orbiting a hot blue subgiant, its eclipses were described by Sagan as ""like drinking a rainbow"".",
178,HOEDUS II,,,Aurigae,,,5,6,30.89337,41,14,4.1127,1.337423507,0.7196773672,3.18,B3 V,,,"Blue dwarf, origin of Clear Spot, one of the more successful galactic religious franchises.",
179,HOMAM,,,Pegasi,,,22,41,27.72072,10,49,52.9079,5.9404986876,0.1890429522,3.414,B8 V,,,"Fabled system, merely to say its name is to be transported there. Species without FTL are advised not to say its name.",FTL 
180,HYDROBIUS,,,Hydrae,,,8,55,23.62614,5,56,44.0354,2.3360960159,0.1037696919,3.1,G9 II-III,,,G-type giant trundled across the heavens by a large beetle. Sacred in the skies of all insect worlds.,
181,JABBAH,,,Scorpii,,,16,11,59.7,19,27,39,4.2411282657,0.3396556168,4,B,,,"Septuple system of blue dwarfs in a blue nebula, the day and night skies of its worlds are a shimmering uniform haze.",
182,JABHAT AL AKRAB,,,Scorpii,,,16,6,48.4,20,40,9,4.2184898909,0.360745012,3.93,B,,,"Capital star of the Scorpio association, a group of local up-and-coming supernova candidates.",
183,JIH,,,Pegasi,,,21,44,38.7344,25,38,42.128,5.6925902066,0.4475903072,4.159,F5IV,,,"Home of the Yassa, a minor stellar empire founded by nomadic horselords whose spacefleets consisted largely of fodder scows.",
184,JUXTA CRUCEM,,,Crucis,,,12,21,21.6,-60,24,4,3.2347932356,-1.0541982608,3.56,K3III,,,"Orange giant, held in many religions to be the site of an ancient sacrifice. Mysteriously, it has no planets.",
185,KABDHILINAN,,,Aurigae,,,4,56,59.62109,33,9,57.9585,1.2958794145,0.5788576378,2.69,K3 II,,,"Grand K-giant supporting a prosperous system of brown, charcoal and off-white dwarfs.",
186,KAFFALJIDHMA,,,Ceti,,,2,43,18.0391,3,14,8.939,0.7125335106,0.05647565,3.47,A3 V + F3 V + K5,,,"Triple star described by Struve as ""an extraordinary  nontuple system"" before he cut down to three cups a day.",
187,KAJAM,,,Herculis,,,16,25,24.9533,14,1,59.77,4.2996879382,0.2449267566,4.5821,B9p Cr,,,Not a star but the still-burning remains of an asteroid struck by a gluon-plasma superweapon known as the Big Stick.,
188,KAUS AUSTRALIS,,,Sagittarii,,,18,24,10.3184,-34,23,4.6193,4.8178591107,-0.6001247695,1.8,B9.5 III,,,"Blue subgiant, terminal point of a weaponised Skein remnant, surrounded by dangerous void currents.",
189,KAUS BOREALIS,,,Sagittarii,,,18,27,58.24072,-25,25,18.1146,4.8344340896,-0.4436923403,2.82,K0 IV,,,"Attached to KAUS AUSTRALIS by a Skein remnant, tension is stretching the manifold here to near breaking point.",KAUS AUSTRALIS 
190,KAUS MEDIA,,,Sagittarii,,,18,20,59.64354,-29,49,41.1659,4.8039928436,-0.5205985832,2.7,K3 III,,,K-type giant which will be projected at 0.5 c by a stressed Skein remnant when its void hawsers are severed.,
191,KEID,,,Eridani,,,4,15,16.32,-7,39,10.34,1.113834222,-0.1335678175,4.43,K1V,,,"Triple system, known locally as the Broken Husk, the relic of a forgotten event of cosmic rebirth.",
192,KHAMBALIA,,,Virginis,,,14,19,6.6,13,22,16,3.7485745342,0.2333699135,4.52,A,,,"Home to the Spice Planets, famed for their schools of xenogastrosophy: ""Everything's delicious to somebody.""",
193,KITALPHA,,,Equulei,,,21,15,49.4,5,14,53.1,5.5668294601,0.0915963336,3.92,G,,,"A-dwarf orbiting a G-giant, a close and somewhat codependent binary pair.",
194,KLEEIA,,,Tauri,,,4,22,56.1,17,32,33,1.1472703672,0.306174384,3.77,A,,,"Modernist triple system, three circular outlines with primitive rays in a bold, assured and vigorous style.",
195,KOCHAB,,,Ursae Minoris,,,14,50,42.3258,74,9,19.8142,3.8864356047,1.2942577023,2.08,K4 III,,,"Retired Pole Star of Earth, delegate to the Lodestar Club and composer of that body's anthem, the Precessional.",
196,KORNEPHOROS,,,Herculis,,,16,30,13.19955,21,29,22.6008,4.320649797,0.3750644727,2.81,G7 IIIa,,,"Yellow giant with companion bearing biosphere spectral fingerprint VOV01CEA998 (""dessert planet"")",VOV CEA
197,KRAZ,,,Corvi,,,12,34,23.23484,-23,23,48.3374,3.2916353253,-0.4083505031,2.647,G5 II,,,"G-giant, setting of the famous series of eponymous genitive epics, now in its 611th instalment (""Prince-Bishops of Kraz"").",
198,KULLAT NUNU,,,Piscium,,,1,31,29,15,20,45,0.3991713443,0.2678353181,3.62,G,,,"Bright giant, home to an aquatic species whose custom of luring terrestrial creatures (""beasting"") is controversial.",
199,KUMA,,,Draconis,,,17,32,10.56856,55,11,3.2739,4.5909845001,0.9631467312,4.8,A6 V,,,Yll's field work here led to her theory that dragons are the result of convergent bioengineering by many species.,
200,LA SUPERBA,,,Canum Venaticorum,,,12,45,7.83,45,26,24.92,3.3385116081,0.7930820724,5,C5,,,"Beautiful ruby star, thought to be past its prime by some observers but still adored by devotees.",
201,LESATH,,,Scorpii,,,17,30,45.83712,-37,17,44.9285,4.5848226559,-0.6509347423,2.7,B2 IV,,,Louche blue star whose crumbling worlds slouch in stops and starts on their slipping orbits.,
202,LUCIDA ANSERIS,,,Vulpeculae,,,19,28,42.3,24,39,54,5.0994375586,0.43048546,4.44,M,,,Home to two species who have overcome their predator-prey relationship to establish a peaceful civilisation.,
203,LUCIDA OPPIDI,,,Sagittarii,,,19,9,45.83293,-21,1,25.0103,5.0167913411,-0.3669312845,2.89,F2 II,,,Triple system whose primary planet is covered by a world-city and orbited by asteroid-suburbs.,
204,LUCY,,,Centauri,,,12,38,49.93,-49,48,1.2,3.3110299446,-0.8691797853,14,A,,,"Diamond star inhabited by ultradense nuclear-spin beings who refer to the rest of the Galaxy as ""the fluffiverse"".",
205,MAASYM,,,Herculis,,,17,30,44.3099,26,6,38.323,4.5847115933,0.4557167299,4.402,K4III,,,The migratory habits of stars are not well understood. This K-giant is believed to mark SOL'S ancestral breeding ground.,SOL S 
206,THE MAGNIFICENT SEVEN,,,J1856,,,18,56,35,-37,54,36,4.9592803475,-0.6616543194,,pulsar,,,Posse of maverick neutron stars in an uneasy alliance against a common foe.,
207,MAIA,,,Tauri,,,3,45,49.6067,24,22,3.895,0.9853552053,0.4252974446,3.871,B8III,,,"Blue giant, resort system of the Pleiades cluster. Massive ocean worlds bask in surrender beneath its violet rays.",
208,MARFAK,,,Herculis,,,16,8,4.5255,17,2,49.129,4.2240258935,0.2975259334,5.1628,G8III ,,,"G-giant, home to a hominid species whose philosophy is based solely on reason. At war with MARFARK and MARFIK.",MARFARK  MARFIK
209,MARFARK,,,Cassiopeiae,,,1,11,6.2,55,8,59,0.310246819,0.9625442343,4.34,A,,,"A-dwarf, home to a bureaubot species whose philosophy is based solely on rezoning. At war with MARFAK and MARFIK.",MARFAK  MARFIK
210,MARFIK,,,Ophiuchi,,,16,30,54.8229,1,59,2.123,4.3236767325,0.0346259894,3.9,A0V+,,,"Binary star, home to a vegetable species whose philosophy is based solely on rhizomes. At war with MARFAK and MARFARK.",MARFAK  MARFARK
211,MARKAB,,,Puppis,,,7,38,49.88,-26,48,14,2.0020293695,-0.4678161134,4.5,B,,,"Blue giant, third of the second set of line-of-sight cognates identified by Yule (see also ACAMAR, ACHERNAR).",ACAMAR ACHERNAR
212,MARKAB,,,Puppis,,,7,38,49.8,-26,48,13,2.0020235517,-0.4678112653,4.62,B,,,"Blue giant, it and k¹ Puppis comprise the only Yulean cognate pair to have ever been collinear with SOL.",SOL
213,MARKAB,,,Pegasi,,,23,4,45.65345,15,12,18.9617,6.0421592245,0.2653819752,2.48,B9 III ,,,"B-giant. A concerted attempt by Yule's colleagues to ""correct"" its name to ""MARKCD"" provoked a diplomatic incident.",A  MARKCD
214,MARKAB,,,Velorum,,,9,22,6.81761,-55,0,38.4017,2.4526833896,-0.9601172653,2.48,B,,,Yule's attempts to explain the fourth MARKAB destroyed his reputation; he died before the discovery of Old Earth.,MARKAB 
215,MATAR,,,Pegasi,,,22,43,0.13743,30,13,16.4822,5.9472194204,0.5274602303,2.95,G2 II + F0 V,,,Duress binary pair consisting of a bright giant which has captured an F-dwarf against the latter star's will.,
216,MEBSUTA,,,Geminorum,,,6,43,55.92626,25,7,52.0515,1.7624862938,0.4386208833,3.06,G8 Ib,,,G-giant in an advanced and startling phase of stellar evolution which appears to be growing limbs.,
217,MEGREZ,,,Ursae Majoris,,,12,15,25.56063,57,1,57.4156,3.208901322,0.9954069205,3.312,A3 V,,,"Evil star on which a race of rats live, in defiance of an ancient proverb.",
218,MEISSA,,,Orionis,,,5,35,8.27761,9,56,2.9611,1.4623152133,0.1733837282,4,O8 III + B0.5 V,,,"Fine star with a hard ceramic interior, delicate blue underglaze and extensive craquelure.",
219,MEKBUDA,,,Geminorum,,,7,4,6.53079,20,34,13.0739,1.8505239396,0.3590194335,4,G0Ibv,,,"Egotistical Cepheid variable, its spectrum a single voiceless word, at all wavelengths, in all languages: ""MEKBUDA!""",MEKBUDA
220,MENKALINAN,,,Aurigae,,,5,59,31.72293,44,56,50.7573,1.5687399602,0.7844806889,1.9,A1m IV + A1m IV,,,Close pair of white giants orbited by a red dwarf whose inhabitants gaze on the mighty pair with joy and terror.,
221,MENKAR,,,Ceti,,,3,2,16.77307,4,5,23.0596,0.7953445817,0.0713794072,2.53,M1.5 IIIa,,,"Red giant with companion bearing biosphere spectral fingerprint JTJ673AA560 (""utopia planet, feminist separatist"")",JTJ AA
222,MENKENT,,,Centauri,,,14,6,40.94752,-36,22,11.8371,3.6943491557,-0.6347754592,2.06,K0 III,,,"Planetless K-giant embedded in a structural element of the galactic animal, perhaps as an ancient safety marker.",
223,MENKIB,,,Persei,,,3,58,57.9011,35,47,27.717,1.0426815918,0.6246713598,4.042,O7.5IIIe,,,"Blue giant, one of the hottest nearby stars, a popular location for spacefaring civilizations to see and be seen.",
224,MERAK,,,Ursae Majoris,,,11,1,50.47654,56,22,56.7339,2.8878273465,0.9840589754,2.37,A1 V,,,A-type star whose circumstellar disk supports a rich ecosystem of plasms and drifters.,
225,MERGA,,,Boötis,,,14,49,18.7,46,6,58,3.8803541649,0.8048779771,5.76,F,,,"F-giant, one of the Filter Stars, surrounded by tempting artefacts and puzzles which lead explorers to a special prize.",
226,MEROPE,,,Tauri,,,3,46,19.5739,23,56,54.09,0.9875344816,0.4179777034,4.113,B6IVe,,,Blue giant surrounded by a hazy nebula through which its circling planets trace expanding copper-pink spirals.,
227,MESARTHIM,,,Arietis,,,1,53,31.81479,19,17,37.879,0.4953691505,0.3367413,3.86,B9 V + A1p Si,,,Binary sustained by the prayers of its inhabitants. It slid 3ly galactic south when they were interrupted by meteors.,
228,MIAPLACIDUS,,,Carinae,,,9,13,11.97746,-69,43,1.9473,2.4137887164,-1.2167948176,1.68,A1 III–,,,"Serene water star, a cloud of white vapour surrounding a core of ultradense ice.",
229,MIMOSA,,,Crucis,,,12,47,43.26877,-59,41,19.5792,3.3498154344,-1.0417655979,1.3,B0.5 III,,,"Intricate blue dwarf, home to the Machine Elves, a race of minor demiurges. Only to be approached by astral travel.",
230,MINARUJA,,,Hydrae,,,8,38,45.4,3,20,29,2.2635029625,0.0583182377,4.44,K,,,"K-type star, last outpost before the Uninhabited Spot, a bustling mercantile zone and tax haven.",
231,MINKAR,,,Corvi,,,12,10,7.48058,-22,37,11.162,3.185769888,-0.3947894141,3.024,K2 III,,,"K-giant, home to an avian race who aspire to flightlessness and who proudly style themselves ""they who creep"".",
232,MINTAKA,,,Orionis,,,5,32,0.4,0,17,57,1.448652368,0.0052214433,2.23,O9.5 II + B0.5III,,,"Hot O and B giants in a tight orbit, a celestial amour fou which must end with one or both partners going supernova.",O  B 
233,MIRA,,,Ceti,,,2,19,20.7921,-2,58,39.4956,0.6080139592,-0.0519695812,3.04,M7 IIIe,,,"Magnificent system, a white dwarf linked to a pulsing red giant by a vast stream of glowing gas teeming with new life.",
234,MIRACH,,,Andromedae,,,1,9,43.92388,35,37,14.0075,0.3042635307,0.6216960122,2.06,M0 III,,,"Illusory red giant, believed to have been constructed as a decoy by a local trickster deity.",
235,MIRAM,,,Persei,,,2,50,41.8,55,53,44,0.7448047139,0.9755614817,3.76,K,,,"Folksy K-type star which prides itself on being ""the biggest little subgiant in the Orion Arm"".",
236,MIRFAK,,,Persei,,,3,24,19.37009,49,51,40.2455,0.8915265512,0.8702417478,1.82,F5 Ib,,,"Brilliant white giant, capital star of the Alpha Persei Cluster. Not to be confused with MARFAK, MARFARK or MARFIK.",MARFAK MARFARK  MARFIK
237,MIZAR,,,Ursae Majoris,,,13,23,55.5,54,55,31,3.5077845473,0.9586269398,2.23,A2 V/A2 V/A1 V ,,,Quadruple system with a peaceful polity based entirely on eclipse cycles and psychedelic spore consumption.,
238,MOTHALLAH,,,Trianguli,,,1,53,4.9071,29,34,43.7801,0.4934123681,0.5162479341,3.42,F5III,,,"F-type instar, a rapidly rotating chrysalis, faintly visible forms within hint at the next stage of its life-cycle.",
239,MUHLIFAIN,,,Centauri,,,12,41,31.04008,-48,57,35.5375,3.3227462002,-0.8545109595,2.17,A1IV+,,,"The Two Things, binary system home to a saurian race whose language lacks precise nouns. See also: MULIPHEIN",MULIPHEIN
240,MULIPHEIN,,,Canis Majoris,,,7,3,45.5,15,38,0,1.8489945374,0.2728531397,4.11,B,,,"Uninhabited A-giant named the Two Things, That One, Hare, the Lexicographer's Oath. See also: MUHLIFAIN",MUHLIFAIN
241,MUPHRID,,,Boötis,,,13,54,41.07892,18,23,51.7946,3.6419988338,0.3211008015,2.68,G0 IV,,,"Mature vaudeville star, source of low comedy and high jinks. The ""sad trombone"" sound was invented on its fourth planet.",
242,MURZIM,,,Canis Majoris,,,6,22,41.98535,-17,57,21.3073,1.6698426965,-0.3133899014,1.98,B1 II-III,,,"B-giant with planetary companion bearing biosphere spectral fingerprint LID106AD569 (""hat planet"")",LID AD
243,MUSCIDA,,,Ursae Majoris,,,8,30,15.87064,60,43,5.4115,2.2264489418,1.0597319799,3.35,G4 II–III,,,"Parallel version of MUSCIDA and MUSCIDA (qq.v.) Here, the third mandibular consonant has no voiced form.",MUSCIDA  MUSCIDA 
244,MUSCIDA,,,Ursae Majoris,,,8,39,11.7044,65,1,15.2667,2.2654158725,1.1348289171,5.63,G,,,"Parallel version of MUSCIDA and MUSCIDA (qq.v.) Here, the Ovipositor Coup was crushed; males are still chattels.",MUSCIDA  MUSCIDA 
245,MUSCIDA,,,Ursae Majoris,,,8,40,12.81767,64,19,40.57,2.2698601549,1.1227342862,4.62,K,,,"Parallel version of MUSCIDA and MUSCIDA (qq.v.) Here, a time-traveller to the Mammal Age prevented civilisation.",MUSCIDA  MUSCIDA 
246,MYIA,,,Muscae,,,12,37,11.01789,-69,8,8.0332,3.303836853,-1.2066432356,2.69,B2 IV-V,,,Oasis system whose multiple worlds have biomes to suite any traveller. Beware of nearby mirages.,
247,NAOS,,,Puppis,,,8,3,35.1,-40,0,11.6,2.1100376158,-0.6981879392,2.21,O4If(n)p,,,"O-type giant on the run from its home cluster, an extremely ultraviolet star bound to end as a black hole or worse.",
248,NASHIRA,,,Capricorni,,,21,40,5.4563,-16,39,44.308,5.6727168623,-0.2908121317,3.69,F0p,,,"Famed as the ""Lucky Star"", its planet has survived gas clouds, dragons, strangelets, invasions and terraforming.",
249,NAVI,,,Cassiopeiae,,,0,56,42.50108,60,43,0.2984,0.247436861,1.0597071909,2.47,B0.5 IVe,,,"Fine example of a shell star, this B-subgiant has made its home in an older star's discarded integument.",
250,NEKKAR,,,Boötis,,,15,1,56.76238,40,23,26.0406,3.9354820169,0.704948378,3.488,G8IIIa,,,Metal-rich star with blistering fretwork and a tendency to exhibit enormous flares.,
251,NEMBUS,,,Andromedae,,,1,37,59.56,48,37,41.6,0.427573669,0.8487225872,3.57,K3III,,,"Respectable K-giant, formerly υ Persei, it was rezoned to avoid the stigma of ALGOL and its subsidiaries.",ALGOL 
252,NIHAL,,,Leporis,,,5,28,14.72316,-20,45,33.9878,1.432240685,-0.3623205973,2.84,G5 II,,,"G-type giant, home to a race of inverse solipsist AIs who believe that everything but their own consciousnesses exists.",AI
253,NUNKI,,,Sagittarii,,,18,55,15.9265,-26,17,48.2068,4.9535299603,-0.4589644182,2.06,B2.5 V,,,"Adorable blue star, all of its rocky worlds were planed down into cubes by a forgotten and fussy civilisation.",
254,NUSAKAN,,,Coronae Borealis,,,15,27,49.7308,29,6,20.53,4.0484170673,0.5079903446,3.7,A9SrEuCr / ?,,,"Once a fabled treasure planet, its third world's service industries now employ many time-dilated adventurers.",
255,OKUL,,,Capricorni,,,20,27,19.2,18,12,42,5.3551937439,0.3178535456,5.08,B,,,Binary system whose primary is the eye — now eternally watchful and unblinking — of a disgraced guardian demiurge.,
256,PAE CHAOU,,,Delphini,,,20,33,12.8,11,18,12,5.3809082615,0.1972803831,4.03,B6III,,,"Giant star in an advanced state of maturation, with a bruised chromosphere and somewhat overripe spectrum.",
257,PÁLIDA,,,Crucis,,,12,15,8.71673,-58,44,56.1369,3.207676399,-1.0253622067,2.79,B,,,"Shimmering and massless sphere of coherent photons, believed to be the “shadow” cast by a four-dimensional metastar.",
258,PEACOCK,,,Pavonis,,,20,25,38.85705,-56,44,6.323,5.3478965986,-0.9902141171,1.91,B2 IV,,,Binary orbited by a desolate world on which explorers found the fossilised remains of a NAAFI. See also: AVIOR.,NAAFI AVIOR
259,PENNAE CAUDALIS,,,Cygni,,,21,46,47.61,49,18,34.5,5.7019623047,0.860614582,4.23,B,,,"Elegant, pied star with beautiful plumage, home to a race of empiricists who are surprised each time it rises.",
260,PEREGRINI,,,Velorum,,,10,46,46.17877,-49,25,12.9244,2.8220649569,-0.862546198,2.69,G5III + G2V,,,"Near the intersection of seven major pilgrimage routes, this system is famed for its temples and fortifications.",
261,THE PERSIAN,,,Indi,,,20,37,34.03201,-47,17,29.4026,5.3999055894,-0.8253923958,3.11,K0 III-IV,,,K-giant cloaked in a dark nebula and what is held by many to be a somewhat too ostentatious air of mystery.,
262,PHACT,,,Columbae,,,5,39,38.94103,-34,4,26.795,1.4819984127,-0.5947054043,2.645,B7 IV,,,"A-subgiant, home of Mens, a planet-sized computer from the second empire. It has been defragmenting for two cosmic years.",
263,PHAD,,,Ursae Majoris,,,11,53,49.84732,53,41,41.135,3.1146743911,0.9371503482,2.438,A0 Ve,,,"Home system of the Patterners, an order of demiurges responsible for attitudes, dispositions and trends.",
264,PHERKAD MAJOR,,,Ursae Minoris,,,15,20,43.71604,71,50,2.4596,4.0174363997,1.2537401038,3.05,A3 Iab:,,,"Capital star of the least efficient stellar empire in history, whence the phrase ""completely Pherkad"".",
